-99999,-99999,13
-99999,-99999,-99999
-99999,-99999,4
-99999,-99999,25
36,31,43
31,36,35
-99999,2,3
2,-99999,1
1,-99999,18
50,32,51
32,50,49
-99999,3,4
2,1,37
31,40,30
40,31,32
3,2,42
56,55,12
55,56,65
-99999,4,5
4,3,49
58,8,59
8,58,9
-99999,5,6
5,4,49
63,68,62
68,63,67
-99999,6,7
6,5,49
51,32,33
-99999,7,8
7,6,60
2,37,42
-99999,8,9
8,7,59
41,39,40
39,41,38
-99999,9,10
-99999,11,12
11,-99999,10
10,9,58
-99999,12,13
11,10,57
45,48,44
48,45,47
12,11,56
43,31,30
-99999,13,14
13,12,55
20,38,19
38,20,21
-99999,14,15
14,13,55
29,40,28
40,29,30
-99999,15,16
15,14,55
19,37,18
37,19,38
-99999,16,17
16,15,47
-99999,17,27
17,16,46
37,1,18
18,-99999,19
28,40,22
43,30,29
19,-99999,20
21,-99999,24
-99999,21,20
24,44,23
44,24,25
21,24,22
43,28,23
28,43,29
21,22,39
22,24,23
43,23,44
22,23,28
24,-99999,25
45,26,27
26,45,25
25,-99999,26
-99999,27,26
27,46,45
46,27,17
15,55,36
3,32,49
32,3,42
53,34,35
34,53,52
7,60,59
10,58,57
63,62,52
32,31,33
34,51,33
51,34,52
33,31,34
11,57,56
34,31,35
36,55,54
15,36,47
35,36,53
16,47,46
38,41,42
37,38,42
38,21,39
39,22,40
40,32,41
41,32,42
36,43,48
47,45,46
43,44,48
44,25,45
47,36,48
6,49,60
49,50,61
50,60,61
60,50,62
50,51,62
51,52,62
64,66,67
66,64,56
52,53,64
53,36,54
53,54,64
54,55,65
54,56,64
56,54,65
56,57,66
52,64,63
57,58,67
68,59,60
59,68,67
58,59,67
60,49,61
60,62,68
57,67,66
63,64,67
